Source,Target,Weight
MitoTsukino,Petra_Gurin,0.0133
MitoTsukino,EnnaAlouette,0.0077
MitoTsukino,NinaKosaka,0.0111
MitoTsukino,ReimuEndou,0.0139
MitoTsukino,MillieParfait,0.0101
MitoTsukino,ike_eveland,0.005
MitoTsukino,Mysta_Rias,0.0043
MitoTsukino,Vox_Akuma,0.0061
MitoTsukino,luca_kaneshiro,0.0053
MitoTsukino,shu_yamino,0.0048
MitoTsukino,alban_knox,0.0069
MitoTsukino,Yugo_Asuma,0.0077
MitoTsukino,Fulgur_Ovid,0.0063
MitoTsukino,sonny_brisko,0.0064
MitoTsukino,uki_violeta,0.0063
MitoTsukino,KyoKanek0,0.0044
MitoTsukino,MariaMari0nette,0.0062
MitoTsukino,AsterArcadia,0.0044
MitoTsukino,AiaAmare,0.0063
MitoTsukino,RenZott0,0.0041
MitoTsukino,ScarleYonaguni,0.0051
MitoTsukino,riku_tazumi,0.0364
MitoTsukino,VTA_ANYCOLOR,0.0415
MitoTsukino,Taka_Radjiman,0.0557
MitoTsukino,ZEA_Cornelia,0.0435
MitoTsukino,Hana_Macchia,0.05
MitoTsukino,Rai_Galilei,0.0383
MitoTsukino,AmiciaMichella,0.045
MitoTsukino,MiyuOttavia,0.0406
MitoTsukino,RiksaDhirendra,0.0417
MitoTsukino,Azura_Cecillia,0.0336
MitoTsukino,Nara_Haramaung,0.0474
MitoTsukino,LaylaAlstro2434,0.0521
MitoTsukino,Etna_Crimson,0.042
MitoTsukino,bobon_pranaja,0.0564
MitoTsukino,SiskaLeontyne,0.0439
MitoTsukino,NagisaArcinia,0.0412
MitoTsukino,DeremKado,0.0441
MitoTsukino,RezaAvanluna,0.0523
MitoTsukino,HyonaElatiora,0.0468
MitoTsukino,Xia_Ekavira,0.0458
MitoTsukino,MikaMelatika,0.0173
MitoTsukino,Wiffy2434,0.0037
MitoTsukino,YuyaShin2434,0.0057
MitoTsukino,SuhaMin2434,0.037
MitoTsukino,Gaon2434,0.0552
MitoTsukino,KaenVtuber,0.0022
MitoTsukino,LOROU_vtuber,0.0018
MitoTsukino,HanChiho2434,0.0134
MitoTsukino,VtuberHakuRen,0.0032
MitoTsukino,NagiSo2434,0.0756
MitoTsukino,AraChae2434,0.0061
MitoTsukino,SiuLee2434,0.007
MitoTsukino,BoraNun2434,0.0205
MitoTsukino,RayAkira2434,0.0627
MitoTsukino,RohaLee2434,0.0639
MitoTsukino,NariYang2434,0.1264
MitoTsukino,HariRyu2434,0.061
MitoTsukino,KiruShin2434,0.007
MitoTsukino,JiyuOh2434,0.0759
MitoTsukino,Seffyna2434,0.0993
MitoTsukino,SongMia2434,0.0079
MitoTsukino,BanHada2434,0.0666
MitoTsukino,KoYami2434,0.0078
MitoTsukino,HaYun2434,0.1183
MitoTsukino,NaSera2434,0.0763
MitoTsukino,LeeOn2434,0.0056
Chihiro_yuki23,Elu_World,0.3362
Chihiro_yuki23,HiguchiKaede,0.3432
Chihiro_yuki23,ShizuRin23,0.2779
Chihiro_yuki23,sibuya_hajime,0.3135
Chihiro_yuki23,aki_suzuya,0.2496
Chihiro_yuki23,Moiramoimoimoi,0.206
Chihiro_yuki23,suzukautako,0.287
Chihiro_yuki23,ushimi_ichigo,0.1789
Chihiro_yuki23,ienaga_mugi23,0.2643
Chihiro_yuki23,Yuuhi_Riri,0.3112
Chihiro_yuki23,AliceMononobe,0.2011
Chihiro_yuki23,nekokan_chu,0.2819
Chihiro_yuki23,gaku_fushimi,0.1837
Chihiro_yuki23,Gilzaren_III,0.2073
Chihiro_yuki23,rei_Toya_rei,0.0863
Chihiro_yuki23,KazakiMorinaka,0.2841
Chihiro_yuki23,Kanae_2434,0.1046
Chihiro_yuki23,Youko_Akabane,0.2887
Chihiro_yuki23,saku_sasaki,0.3255
Chihiro_yuki23,_rnrrdark,0.0093
Chihiro_yuki23,honmahimawari,0.373
Chihiro_yuki23,makaino_ririmu,0.3605
Chihiro_yuki23,Vamp_Kuzu,0.0796
Chihiro_yuki23,setsuna2434,0.0072
Chihiro_yuki23,yuika_siina,0.286
Chihiro_yuki23,___Dola,0.3206
Chihiro_yuki23,god_yaksa23,0.0087
Chihiro_yuki23,azuma_dazo,0.0132
Chihiro_yuki23,ikasumi_zzz,0.06
Chihiro_yuki23,KT_seeds,0.2644
Chihiro_yuki23,SisterCleaire,0.3631
Chihiro_yuki23,ZulmIhP1nlMOT5y,0.3297
Chihiro_yuki23,846kizuQ,0.1942
Chihiro_yuki23,momo_azuchi_,0.2347
Chihiro_yuki23,Darkness_Eater,0.336
Chihiro_yuki23,midori_2434,0.3001
Chihiro_yuki23,udukikohh,0.3008
Chihiro_yuki23,839yuzu,0.0099
Chihiro_yuki23,Kanda_Shoichi,0.3328
Chihiro_yuki23,nArUtO_kOgAnE,0.0063
Chihiro_yuki23,hina__asuka,0.1892
Chihiro_yuki23,harusakiair2434,0.2767
Chihiro_yuki23,Sayo_Amemori,0.1604
Chihiro_yuki23,TakamiyaRion,0.3809
Chihiro_yuki23,maimoto_k,0.3401
Chihiro_yuki23,RindouMikoto,0.2733
Chihiro_yuki23,debidebiru_sama,0.2651
Chihiro_yuki23,SAKURA_RITSUKI,0.2784
Chihiro_yuki23,chima_machita23,0.3344
Chihiro_yuki23,tukimi_sizuku,0.0104
Chihiro_yuki23,JoeRikiichi,0.3108
Chihiro_yuki23,ac1kt,0.0127
Chihiro_yuki23,narusenaru_2434,0.3115
Chihiro_yuki23,belmond_b_2434,0.3514
Chihiro_yuki23,Rine_Yaguruma,0.2321
Chihiro_yuki23,kakeru_yumeoi,0.3388
Chihiro_yuki23,BlackShiba_chan,0.3008
Chihiro_yuki23,kudou_chitose,0.0164
Chihiro_yuki23,g9v9g_mirei,0.2899
Chihiro_yuki23,yuzuki_roa,0.1382
Chihiro_yuki23,onomachi_haruka,0.253
Chihiro_yuki23,KataribeTsumugu,0.1312
Chihiro_yuki23,seto_miyako,0.2813
Chihiro_yuki23,inui_toko,0.1966
Chihiro_yuki23,Ange_Katrina_,0.2616
Chihiro_yuki23,Lize_Helesta,0.2756
Chihiro_yuki23,333akina,0.0907
Chihiro_yuki23,manami_aizono,0.268
Chihiro_yuki23,lulu_suzuhara,0.0423
Chihiro_yuki23,MahiroYukishiro,0.2845
Chihiro_yuki23,Ex_Albio,0.3523
Chihiro_yuki23,Levi_E_2434,0.3074
Chihiro_yuki23,Hayama_Marin,0.2577
Chihiro_yuki23,Nui_Sociere,0.3004
Chihiro_yuki23,Hakase_Fuyuki,0.3528
Chihiro_yuki23,H_KAGAMI2434,0.1088
Chihiro_yuki23,rena_yorumi,0.3156
Chihiro_yuki23,ars_almal,0.2227
Chihiro_yuki23,AibaUiha,0.2489
Chihiro_yuki23,amamiya_kokoro,0.1673
Chihiro_yuki23,Eli_Conifer,0.2955
Chihiro_yuki23,ratna_petit,0.2283
Chihiro_yuki23,SouHayase,0.3286
Chihiro_yuki23,sukosuko_sukoya,0.2219
Chihiro_yuki23,ShellinBurgundy,0.3024
Chihiro_yuki23,FumiVirtual,0.3086
Chihiro_yuki23,Sara_Hoshikawa,0.1234
Chihiro_yuki23,Karuta_Yamagami,0.2926
Chihiro_yuki23,emma_august_,0.2541
Chihiro_yuki23,Luis_Cammy,0.2682
Chihiro_yuki23,matsukai_mao,0.2785
Chihiro_yuki23,Fuwa_Minato,0.0712
Chihiro_yuki23,Tomoe_Shirayuki,0.3356
Chihiro_yuki23,Gwelu_os_gar,0.2392
Chihiro_yuki23,mashiro2434,0.3115
Chihiro_yuki23,Naraka_2434,0.293
Chihiro_yuki23,kurusu72me,0.2964
Chihiro_yuki23,furen_2434,0.2944
Chihiro_yuki23,honmono_ibrahim,0.1534
Chihiro_yuki23,kei_nagao2434,0.11
Chihiro_yuki23,1O46V,0.1422
Chihiro_yuki23,Kaida_Haru,0.0918
Chihiro_yuki23,kirame_2434,0.277
Chihiro_yuki23,meiro_oO,0.0095
Chihiro_yuki23,Akane_Asahina__,0.2344
Chihiro_yuki23,Suo_Sango,0.2485
Chihiro_yuki23,kohaku_todo,0.199
Chihiro_yuki23,Hisui_Kitakoji,0.2665
Chihiro_yuki23,Chigusa_24zono,0.2951
Chihiro_yuki23,AXIA_96NE,0.1791
Chihiro_yuki23,Lauren_iroas,0.18
Chihiro_yuki23,Leos_Vincent,0.1368
Chihiro_yuki23,oliverD_23,0.1301
Chihiro_yuki23,Lain_Paterson,0.198
Chihiro_yuki23,Muyu_Amagase,0.2509
Chihiro_yuki23,ponto_nei,0.2327
Chihiro_yuki23,Yotsuha_Umise,0.1874
Chihiro_yuki23,1000000lome,0.0346
Chihiro_yuki23,KNTFR2434,0.1136
Chihiro_yuki23,watarai_hibari,0.0854
Chihiro_yuki23,Shikinagi_2434,0.0841
Chihiro_yuki23,SerAph_DazZ,0.0815
Chihiro_yuki23,EliraPendora,0.0116
Chihiro_yuki23,PomuRainpuff,0.0114
Chihiro_yuki23,FinanaRyugu,0.0108
Chihiro_yuki23,Selen_Tatsuki,0.0102
Chihiro_yuki23,Rosemi_Lovelock,0.0122
Chihiro_yuki23,Petra_Gurin,0.013
Chihiro_yuki23,EnnaAlouette,0.0083
Chihiro_yuki23,NinaKosaka,0.0118
Chihiro_yuki23,ReimuEndou,0.0128
Chihiro_yuki23,MillieParfait,0.0097
Chihiro_yuki23,ike_eveland,0.0047
Chihiro_yuki23,Mysta_Rias,0.0044
Chihiro_yuki23,Vox_Akuma,0.0051
Chihiro_yuki23,luca_kaneshiro,0.0052
Chihiro_yuki23,shu_yamino,0.0048
Chihiro_yuki23,alban_knox,0.0068
Chihiro_yuki23,Yugo_Asuma,0.008
Chihiro_yuki23,Fulgur_Ovid,0.006
Chihiro_yuki23,sonny_brisko,0.0058
Chihiro_yuki23,uki_violeta,0.0064
